id,label,matches,goals_for,goals_against,wins,losses,per_win,per_loss
90,Maldives,105,175,273,41,64,0.3904761904761905,0.6095238095238096
91,Mali,201,299,219,121,80,0.6019900497512438,0.39800995024875624
92,Malta,218,97,635,18,200,0.08256880733944955,0.9174311926605505
93,Martinique,123,258,164,74,49,0.6016260162601627,0.3983739837398374
94,Mauritania,111,94,217,26,85,0.23423423423423423,0.7657657657657657
95,Mauritius,118,84,262,23,95,0.19491525423728814,0.8050847457627118
96,Mexico,338,766,357,234,104,0.6923076923076923,0.3076923076923077
97,Moldova,119,91,254,24,95,0.20168067226890757,0.7983193277310925
98,Morocco,216,370,176,145,71,0.6712962962962963,0.3287037037037037
99,Mozambique,143,168,210,62,81,0.43356643356643354,0.5664335664335665
100,Namibia,128,154,225,51,77,0.3984375,0.6015625
101,Nepal,115,96,338,26,89,0.22608695652173913,0.7739130434782608
102,Netherlands,273,678,226,206,67,0.7545787545787546,0.2454212454212454
103,New Caledonia,123,443,160,80,43,0.6504065040650406,0.34959349593495936
104,New Zealand,128,276,165,78,50,0.609375,0.390625
105,Nicaragua,104,89,339,18,86,0.17307692307692307,0.8269230769230769
106,Nigeria,240,422,226,163,77,0.6791666666666667,0.32083333333333336
107,North Korea,183,357,216,113,70,0.6174863387978142,0.3825136612021858
108,North Macedonia,106,124,184,33,73,0.3113207547169811,0.6886792452830188
109,Northern Ireland,330,382,603,121,209,0.36666666666666664,0.6333333333333333
110,Norway,322,523,552,154,168,0.4782608695652174,0.5217391304347826
111,Oman,187,295,293,81,106,0.43315508021390375,0.5668449197860963
112,Pakistan,102,83,279,22,80,0.21568627450980393,0.7843137254901961
113,Panama,178,245,344,72,106,0.4044943820224719,0.5955056179775281
114,Paraguay,344,509,597,161,183,0.4680232558139535,0.5319767441860465
115,Peru,280,382,467,116,164,0.4142857142857143,0.5857142857142857
116,Philippines,131,152,344,42,89,0.32061068702290074,0.6793893129770993
117,Poland,223,439,289,137,86,0.6143497757847534,0.38565022421524664
118,Portugal,261,540,256,187,74,0.7164750957854407,0.2835249042145594
119,Qatar,249,434,299,139,110,0.5582329317269076,0.44176706827309237
120,Republic of Ireland,215,347,274,121,94,0.5627906976744186,0.4372093023255814
121,Romania,266,542,318,172,94,0.6466165413533834,0.3533834586466165
122,Russia,276,584,221,201,75,0.7282608695652174,0.2717391304347826
123,Rwanda,140,177,188,65,75,0.4642857142857143,0.5357142857142857
124,Saint Kitts and Nevis,100,211,166,50,50,0.5,0.5
125,Saint Lucia,123,206,249,53,70,0.43089430894308944,0.5691056910569106
126,San Marino,145,18,665,0,145,0.0,1.0
127,Saudi Arabia,275,549,290,183,92,0.6654545454545454,0.33454545454545453
128,Scotland,355,620,456,213,142,0.6,0.4
129,Senegal,220,364,173,146,74,0.6636363636363637,0.33636363636363636
130,Serbia,117,236,126,78,39,0.6666666666666666,0.3333333333333333
131,Sierra Leone,123,129,179,53,70,0.43089430894308944,0.5691056910569106
132,Singapore,292,375,612,100,192,0.3424657534246575,0.6575342465753424
133,Slovakia,130,226,162,73,57,0.5615384615384615,0.43846153846153846
134,Slovenia,125,170,157,60,65,0.48,0.52
135,Solomon Islands,108,285,272,53,55,0.49074074074074076,0.5092592592592593
136,South Africa,154,231,161,97,57,0.6298701298701299,0.37012987012987014
137,South Korea,421,987,349,318,103,0.7553444180522565,0.24465558194774348
138,Spain,289,719,227,228,61,0.7889273356401384,0.21107266435986158
139,Sri Lanka,118,119,314,31,87,0.2627118644067797,0.7372881355932204
140,Sudan,213,259,301,96,117,0.4507042253521127,0.5492957746478874
141,Suriname,138,248,205,73,65,0.5289855072463768,0.47101449275362317
142,Sweden,378,866,436,259,119,0.6851851851851852,0.3148148148148148
143,Switzerland,262,452,450,130,132,0.4961832061068702,0.5038167938931297
144,Syria,182,346,232,101,81,0.554945054945055,0.44505494505494503
145,Tahiti,132,437,218,81,51,0.6136363636363636,0.38636363636363635
146,Tanzania,201,237,307,76,125,0.3781094527363184,0.6218905472636815
147,Thailand,401,668,693,190,211,0.47381546134663344,0.5261845386533666
148,Togo,156,177,220,66,90,0.4230769230769231,0.5769230769230769
149,Trinidad and Tobago,254,491,355,142,112,0.5590551181102362,0.4409448818897638
150,Tunisia,208,366,218,130,78,0.625,0.375
151,Turkey,233,338,366,113,120,0.48497854077253216,0.5150214592274678
152,Uganda,269,443,299,163,106,0.6059479553903345,0.3940520446096654
153,Ukraine,111,187,107,72,39,0.6486486486486487,0.35135135135135137
154,United Arab Emirates,244,411,322,136,108,0.5573770491803278,0.4426229508196721
155,United States,268,497,332,169,99,0.6305970149253731,0.3694029850746269
156,Uruguay,386,725,497,232,154,0.6010362694300518,0.39896373056994816
157,Uzbekistan,134,279,158,85,49,0.6343283582089553,0.3656716417910448
158,Vanuatu,110,257,257,43,67,0.39090909090909093,0.6090909090909091
159,Venezuela,168,127,461,32,136,0.19047619047619047,0.8095238095238095
160,Vietnam,125,235,213,61,64,0.488,0.512
161,Vietnam Republic,113,217,210,58,55,0.5132743362831859,0.48672566371681414
162,Wales,320,434,517,140,180,0.4375,0.5625
163,Yemen,125,127,321,31,94,0.248,0.752
164,Yugoslavia,178,408,235,118,60,0.6629213483146067,0.33707865168539325
165,Zambia,305,530,301,196,109,0.6426229508196721,0.35737704918032787
166,Zimbabwe,195,302,212,119,76,0.6102564102564103,0.38974358974358975
