Source,Target,Type,Id,Label,timeset,Weight,S
6,53,Directed,185,,,1,
6,54,Directed,186,,,2,
6,56,Directed,187,,,3,
6,64,Directed,188,,,1,
6,65,Directed,189,,,2,
6,71,Directed,190,,,3,
6,76,Directed,191,,,1,
6,92,Directed,192,,,1,
6,102,Directed,193,,,2,
6,108,Directed,194,,,2,
6,110,Directed,195,,,1,
6,117,Directed,196,,,4,
6,118,Directed,197,,,4,
6,120,Directed,198,,,2,
6,121,Directed,199,,,4,
6,122,Directed,200,,,3,
6,130,Directed,201,,,2,
6,138,Directed,202,,,6,
6,151,Directed,203,,,2,
6,153,Directed,204,,,5,
7,5,Directed,205,,,2,
7,19,Directed,206,,,2,
7,26,Directed,207,,,1,
7,28,Directed,208,,,1,
7,29,Directed,209,,,3,
7,49,Directed,210,,,1,
7,51,Directed,211,,,2,
7,54,Directed,212,,,4,
7,67,Directed,213,,,1,
7,68,Directed,214,,,3,
7,69,Directed,215,,,2,
7,70,Directed,216,,,1,
7,71,Directed,217,,,1,
7,74,Directed,218,,,4,
7,75,Directed,219,,,3,
7,78,Directed,220,,,4,
7,102,Directed,221,,,1,
7,104,Directed,222,,,4,
7,107,Directed,223,,,2,
7,111,Directed,224,,,1,
7,115,Directed,225,,,1,
7,127,Directed,226,,,1,
7,128,Directed,227,,,1,
7,136,Directed,228,,,1,
7,137,Directed,229,,,3,
7,138,Directed,230,,,1,
7,150,Directed,231,,,1,
7,154,Directed,232,,,1,
7,156,Directed,233,,,2,
8,14,Directed,234,,,1,
8,17,Directed,235,,,1,
8,19,Directed,236,,,2,
8,20,Directed,237,,,1,
8,33,Directed,238,,,1,
8,37,Directed,239,,,2,
8,38,Directed,240,,,6,
8,40,Directed,241,,,2,
8,45,Directed,242,,,1,
8,48,Directed,243,,,1,
8,50,Directed,244,,,1,
8,51,Directed,245,,,6,
8,54,Directed,246,,,13,
8,56,Directed,247,,,1,
8,64,Directed,248,,,12,
8,65,Directed,249,,,1,
8,70,Directed,250,,,2,
8,71,Directed,251,,,9,
8,80,Directed,252,,,2,
8,85,Directed,253,,,1,
8,97,Directed,254,,,1,
8,98,Directed,255,,,1,
8,102,Directed,256,,,3,
8,109,Directed,257,,,4,
8,117,Directed,258,,,3,
8,118,Directed,259,,,2,
8,120,Directed,260,,,2,
8,121,Directed,261,,,1,
8,122,Directed,262,,,3,
8,128,Directed,263,,,2,
8,130,Directed,264,,,3,
8,138,Directed,265,,,5,
8,142,Directed,266,,,5,
8,143,Directed,267,,,1,
8,151,Directed,268,,,5,
8,162,Directed,269,,,2,
8,164,Directed,270,,,2,
9,0,Directed,271,,,1,
9,8,Directed,272,,,3,
9,14,Directed,273,,,3,
9,20,Directed,274,,,2,
9,33,Directed,275,,,2,
9,37,Directed,276,,,1,
9,45,Directed,277,,,2,
9,50,Directed,278,,,7,
9,51,Directed,279,,,1,
9,54,Directed,280,,,6,
9,64,Directed,281,,,6,
9,70,Directed,282,,,2,
9,71,Directed,283,,,4,
9,76,Directed,284,,,1,
9,84,Directed,285,,,1,
9,92,Directed,286,,,1,
9,97,Directed,287,,,1,
9,108,Directed,288,,,1,
9,109,Directed,289,,,3,
9,110,Directed,290,,,4,
9,117,Directed,291,,,5,
9,118,Directed,292,,,5,
9,121,Directed,293,,,4,
9,122,Directed,294,,,2,
9,130,Directed,295,,,2,
9,133,Directed,296,,,7,
9,142,Directed,297,,,2,
9,143,Directed,298,,,1,
9,151,Directed,299,,,3,
9,162,Directed,300,,,7,
10,7,Directed,301,,,5,
10,17,Directed,302,,,1,
10,28,Directed,303,,,1,
10,29,Directed,304,,,1,
10,43,Directed,305,,,1,
10,50,Directed,306,,,2,
10,63,Directed,307,,,1,
10,67,Directed,308,,,2,
10,68,Directed,309,,,6,
10,69,Directed,310,,,12,
10,74,Directed,311,,,7,
10,75,Directed,312,,,5,
10,78,Directed,313,,,14,
10,81,Directed,314,,,1,
10,83,Directed,315,,,1,
10,89,Directed,316,,,2,
10,98,Directed,317,,,1,
10,104,Directed,318,,,1,
10,107,Directed,319,,,3,
10,111,Directed,320,,,4,
10,116,Directed,321,,,1,
10,119,Directed,322,,,5,
10,127,Directed,323,,,15,
10,137,Directed,324,,,8,
10,144,Directed,325,,,6,
10,147,Directed,326,,,2,
10,149,Directed,327,,,1,
10,154,Directed,328,,,10,
10,157,Directed,329,,,4,
10,163,Directed,330,,,2,
11,1,Directed,331,,,1,
11,7,Directed,332,,,2,
11,17,Directed,333,,,1,
11,22,Directed,334,,,5,
11,29,Directed,335,,,4,
11,63,Directed,336,,,3,
11,66,Directed,337,,,6,
11,67,Directed,338,,,3,
11,68,Directed,339,,,4,
11,74,Directed,340,,,3,
11,75,Directed,341,,,2,
11,78,Directed,342,,,1,
11,79,Directed,343,,,1,
11,81,Directed,344,,,1,
11,89,Directed,345,,,3,
11,90,Directed,346,,,2,
11,101,Directed,347,,,3,
11,107,Directed,348,,,1,
11,111,Directed,349,,,1,
11,112,Directed,350,,,2,
11,116,Directed,351,,,1,
11,119,Directed,352,,,4,
11,127,Directed,353,,,4,
11,130,Directed,354,,,1,
11,137,Directed,355,,,4,
11,139,Directed,356,,,2,
11,140,Directed,357,,,1,
11,144,Directed,358,,,3,
11,147,Directed,359,,,7,
11,154,Directed,360,,,4,
11,157,Directed,361,,,3,
11,160,Directed,362,,,1,
12,32,Directed,363,,,1,
12,34,Directed,364,,,1,
12,35,Directed,365,,,1,
12,41,Directed,366,,,1,
12,44,Directed,367,,,1,
12,57,Directed,368,,,2,
12,58,Directed,369,,,2,
12,59,Directed,370,,,2,
12,61,Directed,371,,,1,
12,73,Directed,372,,,6,
12,93,Directed,373,,,3,
12,105,Directed,374,,,1,
12,124,Directed,375,,,3,
12,125,Directed,376,,,2,
12,149,Directed,377,,,12,
12,155,Directed,378,,,4,
13,0,Directed,379,,,1,
13,6,Directed,380,,,1,
13,8,Directed,381,,,4,
13,17,Directed,382,,,2,
13,20,Directed,383,,,3,
13,33,Directed,384,,,2,
13,37,Directed,385,,,4,
13,40,Directed,386,,,1,
13,45,Directed,387,,,2,
13,46,Directed,388,,,1,
13,50,Directed,389,,,1,
13,51,Directed,390,,,3,
13,53,Directed,391,,,1,
13,54,Directed,392,,,2,
13,56,Directed,393,,,1,
13,71,Directed,394,,,2,
13,80,Directed,395,,,1,
13,86,Directed,396,,,2,
13,97,Directed,397,,,2,
13,102,Directed,398,,,8,
13,109,Directed,399,,,2,
13,110,Directed,400,,,3,
13,117,Directed,401,,,1,
13,121,Directed,402,,,2,
13,128,Directed,403,,,2,
