Id,Label,timeset,matches,goals_for,goals_against,wins,losses,per_win,per_loss,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum,gre
33,Croatia,,137,278,120,103,34,0.751825,0.248175,4,0.457064,0.518182,169.170042,2,44,24,68,101,34,135,0.136563,0.085866,0.010552,0.450204,0.649295,0,0,33
34,Cuba,,178,301,319,88,90,0.494382,0.505618,4,0.402439,0.45303,140.168813,1,20,15,35,58,88,146,0.013409,0.013374,0.004482,0.575099,0.082928,0,0,34
35,Curaçao,,152,243,304,62,90,0.407895,0.592105,4,0.385514,0.439899,100.379286,1,17,16,33,41,77,118,0.010373,0.008293,0.004077,0.690058,0.064224,0,0,35
36,Cyprus,,230,196,612,48,182,0.208696,0.791304,4,0.435356,0.532828,27.023014,2,25,38,63,46,182,228,0.084896,0.143766,0.00509,0.596188,0.295825,0,0,36
37,Czech Republic,,155,319,148,108,47,0.696774,0.303226,4,0.463483,0.531818,197.337907,2,47,27,74,103,46,149,0.152745,0.100336,0.010352,0.46633,0.647737,0,0,37
38,Czechoslovakia,,164,343,200,103,61,0.628049,0.371951,4,0.426357,0.494949,27.987456,2,32,24,56,101,60,161,0.110393,0.101053,0.009833,0.655405,0.611644,0,0,38
39,DR Congo,,217,380,277,125,92,0.576037,0.423963,4,0.460894,0.539899,107.129021,3,35,32,67,110,88,198,0.028727,0.035815,0.005831,0.582692,0.261129,0,0,39
40,Denmark,,346,709,465,210,136,0.606936,0.393064,4,0.44,0.523737,88.008232,2,51,32,83,207,134,341,0.16517,0.129011,0.013085,0.506734,0.820008,0,0,40
41,Dominica,,108,139,273,29,79,0.268519,0.731481,4,0.380184,0.431313,5.223493,1,5,15,20,14,63,77,0.000687,0.00496,0.00161,0.671429,0.006727,0,0,41
42,Ecuador,,227,269,501,70,157,0.30837,0.69163,4,0.44,0.49697,88.876849,0,18,20,38,70,157,227,0.030467,0.053321,0.005962,0.472308,0.2129,0,0,42
43,Egypt,,246,498,242,170,76,0.691057,0.308943,4,0.492537,0.562626,694.828878,3,50,33,83,162,73,235,0.063006,0.052196,0.008604,0.344525,0.442644,0,0,43
44,El Salvador,,231,369,355,115,116,0.497835,0.502165,4,0.415617,0.473737,74.215433,1,16,18,34,91,113,204,0.010386,0.028809,0.003972,0.530303,0.065682,0,0,44
45,England,,375,912,323,283,92,0.754667,0.245333,4,0.423077,0.50404,143.868056,2,60,29,89,278,92,370,0.178975,0.116897,0.014935,0.412202,0.882616,0,0,45
46,Estonia,,178,153,381,43,135,0.241573,0.758427,4,0.453297,0.538384,53.093155,2,17,34,51,41,135,176,0.057893,0.121318,0.002993,0.558653,0.154942,0,0,46
47,Ethiopia,,194,258,350,81,113,0.417526,0.582474,5,0.45961,0.544646,86.259577,3,26,34,60,52,109,161,0.022314,0.028217,0.004466,0.619048,0.194611,0,0,47
48,Faroe Islands,,150,103,403,23,127,0.153333,0.846667,4,0.436508,0.531313,8.045548,2,9,37,46,15,126,141,0.032274,0.129248,0.001804,0.587195,0.069076,0,0,48
49,Fiji,,114,361,199,67,47,0.587719,0.412281,4,0.361842,0.390909,121.414732,4,6,6,12,37,46,83,0.003767,0.002153,0.002214,0.833333,0.017855,0,0,49
50,Finland,,338,374,820,101,237,0.298817,0.701183,4,0.504587,0.6,447.366945,2,40,46,86,100,235,335,0.126837,0.155023,0.007549,0.428345,0.468898,0,0,50
51,France,,276,625,268,203,73,0.735507,0.264493,4,0.474138,0.54899,434.617149,2,66,32,98,202,70,272,0.189005,0.116182,0.016773,0.377524,0.98862,0,0,51
52,Gabon,,136,185,147,76,60,0.558824,0.441176,5,0.428571,0.500202,24.273231,3,27,25,52,52,55,107,0.025298,0.021768,0.00477,0.673118,0.21346,0,0,52
53,Georgia,,114,128,181,39,75,0.342105,0.657895,4,0.427461,0.513636,32.152713,2,18,32,50,35,74,109,0.060238,0.116805,0.003833,0.587087,0.214303,0,0,53
54,Germany,,305,832,285,253,52,0.829508,0.170492,4,0.474138,0.540909,281.076081,2,67,28,95,249,51,300,0.193459,0.106687,0.016574,0.380861,0.964238,0,0,54
55,Ghana,,241,418,201,165,76,0.684647,0.315353,4,0.503049,0.575253,833.464984,3,43,36,79,144,76,220,0.043685,0.049905,0.007237,0.397436,0.347402,0,0,55
56,Greece,,245,342,378,127,118,0.518367,0.481633,4,0.486726,0.574242,224.555885,2,44,40,84,125,118,243,0.146128,0.142883,0.01004,0.505387,0.634019,0,0,56
57,Grenada,,122,263,241,62,60,0.508197,0.491803,4,0.37415,0.430303,16.648224,1,9,16,25,34,52,86,0.001757,0.006154,0.0023,0.708333,0.016882,0,0,57
58,Guadeloupe,,111,225,149,61,50,0.54955,0.45045,4,0.395683,0.450505,87.525693,1,17,17,34,38,40,78,0.007001,0.008034,0.003709,0.547619,0.040275,0,0,58
59,Guatemala,,175,321,249,93,82,0.531429,0.468571,4,0.413534,0.460101,95.47412,1,19,14,33,83,82,165,0.014576,0.010669,0.004419,0.597368,0.084086,0,0,59
60,Guinea,,206,319,258,115,91,0.558252,0.441748,5,0.428571,0.498182,24.703723,3,32,24,56,100,83,183,0.028104,0.020666,0.00543,0.685383,0.248145,0,0,60
61,Haiti,,193,384,252,116,77,0.601036,0.398964,4,0.420918,0.489394,210.639928,1,22,24,46,81,74,155,0.012176,0.027063,0.00493,0.480159,0.076728,0,0,61
62,Honduras,,233,419,294,134,99,0.575107,0.424893,4,0.436508,0.504545,270.497853,1,21,25,46,127,98,225,0.02198,0.040256,0.005574,0.4,0.141814,0,0,62
