Id,Label,timeset,matches,goals_for,goals_against,wins,losses,per_win,per_loss,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum,gre
135,Solomon Islands,,108,285,272,53,55,0.490741,0.509259,4,0.361842,0.390909,0,4,4,6,10,24,53,77,0.000506,0.002243,0.00189,0.9,0.00315,0,0,135
136,South Africa,,154,231,161,97,57,0.62987,0.37013,4,0.489614,0.560606,640.258387,3,34,33,67,82,54,136,0.038619,0.044741,0.006286,0.435245,0.299527,0,0,136
137,South Korea,,421,987,349,318,103,0.755344,0.244656,3,0.548173,0.620202,1474.286993,5,57,45,102,305,102,407,0.083371,0.098218,0.010518,0.267694,0.493654,0,0,137
138,Spain,,289,719,227,228,61,0.788927,0.211073,4,0.45082,0.532323,291.313695,2,69,32,101,228,61,289,0.199282,0.121573,0.016915,0.384472,1,0,0,138
139,Sri Lanka,,118,119,314,31,87,0.262712,0.737288,4,0.457064,0.524747,9.878335,5,7,27,34,17,69,86,0.005426,0.022336,0.001347,0.612536,0.016597,0,0,139
140,Sudan,,213,259,301,96,117,0.450704,0.549296,4,0.478261,0.557576,286.779092,3,31,34,65,76,110,186,0.027008,0.029764,0.005026,0.439605,0.219759,0,0,140
141,Suriname,,138,248,205,73,65,0.528986,0.471014,4,0.388235,0.44798,16.347947,1,12,19,31,34,53,87,0.00407,0.007439,0.002806,0.657895,0.026097,0,0,141
142,Sweden,,378,866,436,259,119,0.685185,0.314815,4,0.45961,0.536869,246.576305,2,56,31,87,258,119,377,0.172517,0.12071,0.013563,0.407923,0.82958,0,0,142
143,Switzerland,,262,452,450,130,132,0.496183,0.503817,4,0.426357,0.518182,118.026746,2,44,34,78,127,128,255,0.14484,0.129302,0.010393,0.499246,0.650507,0,0,143
144,Syria,,182,346,232,101,81,0.554945,0.445055,4,0.479651,0.537374,142.942731,5,29,25,54,86,76,162,0.030597,0.029369,0.004424,0.5,0.155861,0,0,144
145,Tahiti,,132,437,218,81,51,0.613636,0.386364,4,0.430809,0.470707,138.337691,4,6,11,17,43,48,91,0.002046,0.01162,0.002268,0.345455,0.008902,0,0,145
146,Tanzania,,201,237,307,76,125,0.378109,0.621891,5,0.427461,0.503232,19.520339,3,18,27,45,50,113,163,0.01523,0.021273,0.003218,0.7,0.130178,0,0,146
147,Thailand,,401,668,693,190,211,0.473815,0.526185,4,0.533981,0.602525,545.16165,5,32,40,72,178,208,386,0.037698,0.053579,0.004586,0.352394,0.174708,0,0,147
148,Togo,,156,177,220,66,90,0.423077,0.576923,4,0.460894,0.540404,74.150032,3,23,32,55,56,84,140,0.019201,0.034652,0.004303,0.597538,0.183424,0,0,148
149,Trinidad and Tobago,,254,491,355,142,112,0.559055,0.440945,4,0.409429,0.476263,545.928241,1,24,23,47,113,108,221,0.01672,0.016517,0.005204,0.462963,0.099926,0,0,149
150,Tunisia,,208,366,218,130,78,0.625,0.375,4,0.489614,0.564141,645.122394,3,40,34,74,116,77,193,0.036235,0.065224,0.006923,0.337662,0.30571,0,0,150
151,Turkey,,233,338,366,113,120,0.484979,0.515021,4,0.467422,0.555556,209.420863,2,46,37,83,109,119,228,0.142997,0.140438,0.011098,0.459469,0.675575,0,0,151
152,Uganda,,269,443,299,163,106,0.605948,0.394052,5,0.437666,0.522424,46.813012,3,27,32,59,124,102,226,0.023047,0.024781,0.004588,0.675579,0.200193,0,0,152
153,Ukraine,,111,187,107,72,39,0.648649,0.351351,4,0.393795,0.455556,26.815878,2,34,18,52,69,38,107,0.111362,0.071828,0.007576,0.532389,0.462733,0,0,153
154,United Arab Emirates,,244,411,322,136,108,0.557377,0.442623,4,0.488166,0.55303,212.323742,5,32,30,62,129,107,236,0.038469,0.04459,0.005151,0.398077,0.206365,0,0,154
155,United States,,268,497,332,169,99,0.630597,0.369403,4,0.515625,0.583333,1228.191007,1,41,36,77,164,99,263,0.059042,0.079711,0.010803,0.285922,0.424826,0,0,155
156,Uruguay,,386,725,497,232,154,0.601036,0.398964,4,0.43883,0.508586,205.796468,0,38,26,64,232,154,386,0.079806,0.079106,0.011307,0.372222,0.544164,0,0,156
157,Uzbekistan,,134,279,158,85,49,0.634328,0.365672,4,0.443548,0.494949,43.593223,5,28,18,46,69,47,116,0.033292,0.024893,0.004468,0.558468,0.167638,0,0,157
158,Vanuatu,,110,257,257,43,67,0.390909,0.609091,4,0.361842,0.390909,14.903298,4,5,6,11,17,62,79,0.002063,0.0022,0.001999,0.866667,0.007324,0,0,158
159,Venezuela,,168,127,461,32,136,0.190476,0.809524,4,0.375854,0.419192,0.716501,0,9,11,20,32,136,168,0.014351,0.020584,0.00338,0.818182,0.089306,0,0,159
160,Vietnam,,125,235,213,61,64,0.488,0.512,4,0.458333,0.515657,65.559287,5,18,22,40,53,59,112,0.018814,0.023337,0.002592,0.536946,0.080475,0,0,160
161,Vietnam Republic,,113,217,210,58,55,0.513274,0.486726,4,0.424165,0.467172,10.422892,5,12,12,24,56,53,109,0.015581,0.014153,0.002169,0.695833,0.074144,0,0,161
162,Wales,,320,434,517,140,180,0.4375,0.5625,4,0.427461,0.525758,45.624454,2,37,37,74,138,176,314,0.128871,0.138437,0.008632,0.561517,0.556704,0,0,162
163,Yemen,,125,127,321,31,94,0.248,0.752,4,0.462185,0.528788,27.658245,5,10,27,37,20,89,109,0.009052,0.025093,0.001818,0.610837,0.039489,0,0,163
164,Yugoslavia,,178,408,235,118,60,0.662921,0.337079,4,0.40146,0.475758,60.050793,2,43,24,67,116,59,175,0.127263,0.102184,0.012749,0.492424,0.743919,0,0,164
165,Zambia,,305,530,301,196,109,0.642623,0.357377,4,0.494012,0.568687,286.229006,3,36,35,71,166,107,273,0.033587,0.036876,0.006121,0.536005,0.290137,0,0,165
166,Zimbabwe,,195,302,212,119,76,0.610256,0.389744,4,0.441176,0.514141,95.054102,3,31,27,58,84,72,156,0.024757,0.022708,0.00509,0.617117,0.224805,0,0,166
